Ram,Weight,Touchscreen,ppi,HDD,SSD
8,2.4,0,141.21199808219862,0,256
8,1.12,0,165.6321180513006,0,256
8,2.8,0,127.33567457123112,1000,128
16,1.42,1,209.8006828649808,0,1000
4,1.3,0,157.3505121487356,0,0
8,1.3,0,165.6321180513006,0,256
8,2.8,0,106.11306214269258,0,256
8,1.62,1,165.6321180513006,1000,0
8,2.5,0,127.33567457123112,1000,0
32,3.49,1,254.67134914246225,0,1000
8,1.49,0,165.6321180513006,0,512
16,3.35,0,127.33567457123112,1000,256
8,2.5,0,127.33567457123112,0,256
16,2.65,0,282.42399616439724,1000,512
4,2.1,0,100.45466986113652,0,128
8,2.23,0,141.21199808219862,1000,0
16,3.2,0,141.21199808219862,1000,512
16,2.8,0,282.42399616439724,1000,256
16,2.4,0,141.21199808219862,0,512
6,2.3,1,100.45466986113652,1000,0
8,1.21,1,331.2642361026012,0,256
8,1.2,0,165.6321180513006,0,256
8,2.2,0,100.45466986113652,0,256
8,2.4,0,141.21199808219862,1000,0
16,2.9,0,127.33567457123112,1000,256
4,2.1,0,141.21199808219862,500,0
8,2.2,0,141.21199808219862,0,256
8,1.05,0,199.69207064108247,0,512
8,1.4,0,165.6321180513006,0,256
8,2.8,0,106.11306214269258,1000,0
8,1.63,0,157.3505121487356,0,256
8,1.6,0,157.3505121487356,0,256
16,1.62,1,165.6321180513006,0,512
8,2.2,0,141.21199808219862,0,256
8,1.74,0,157.3505121487356,0,256
8,1.2,0,165.6321180513006,0,256
8,2.1,0,141.21199808219862,1000,0
16,4.42,0,127.33567457123112,1000,256
8,2.2,0,141.21199808219862,0,256
16,2.3,1,141.21199808219862,1000,0
8,2.0,0,141.21199808219862,0,256
8,2.69,0,127.33567457123112,500,256
8,1.9,0,141.21199808219862,1000,0
4,2.37,0,100.45466986113652,1000,0
4,2.1,0,100.45466986113652,500,0
16,3.2,0,141.21199808219862,1000,256
8,1.6,0,157.3505121487356,0,256
8,1.6,1,165.6321180513006,0,256
16,2.36,0,141.21199808219862,0,256
4,2.1,0,100.45466986113652,1000,0
4,2.2,0,141.21199808219862,1000,128
32,4.7,0,127.33567457123112,1000,512
8,2.5,0,141.21199808219862,0,256
8,2.2,0,100.45466986113652,0,128
8,2.1,0,127.33567457123112,1000,128
8,2.69,0,127.33567457123112,1000,128
8,2.56,0,141.21199808219862,0,256
8,1.38,1,158.48253022174808,0,256
8,2.2,0,141.21199808219862,2000,128
8,2.04,1,100.45466986113652,1000,0
16,3.6,0,127.33567457123112,0,256
4,1.49,0,165.6321180513006,500,0
8,1.37,0,226.98300468106115,0,512
8,2.08,1,141.21199808219862,1000,0
16,4.3,0,127.33567457123112,1000,256
4,1.68,0,100.45466986113652,1000,0
8,1.37,1,158.48253022174808,0,512
4,3.0,0,127.33567457123112,0,256
8,1.41,0,165.6321180513006,0,256
8,1.91,0,100.45466986113652,0,128
16,2.9,0,127.33567457123112,1000,0
16,4.14,0,127.33567457123112,1000,512
8,2.0,1,141.21199808219862,0,512
8,2.8,0,127.33567457123112,1000,128
4,2.2,0,141.21199808219862,0,256
4,2.1,0,141.21199808219862,500,0
4,2.18,0,141.21199808219862,1000,0
8,2.24,0,141.21199808219862,1000,0
8,2.67,1,141.21199808219862,0,256
8,1.1,1,165.6321180513006,0,1024
4,2.2,0,141.21199808219862,1000,0
8,2.5,0,127.33567457123112,1000,0
8,2.05,0,141.21199808219862,0,256
8,1.37,0,226.98300468106115,0,512
16,3.2,0,127.33567457123112,1000,256
8,2.14,0,141.21199808219862,0,256
16,1.36,1,209.8006828649808,0,512
8,2.2,0,100.45466986113652,500,0
12,2.3,0,100.45466986113652,1000,0
8,2.8,0,127.33567457123112,1000,128
8,2.2,0,141.21199808219862,1000,0
